,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,track_name,artist_name
8877,0.475,0.496,10.0,-6.9479999999999995,1.0,0.0384,0.41600000000000004,0.0,0.0942,0.32899999999999996,111.13,183467.0,4.0,59,The Weight,Shawn Mendes
8878,0.551,0.813,5.0,-4.25,1.0,0.0621,0.0155,5.82e-06,0.105,0.568,97.557,224373.0,4.0,55,Dopamine,BØRNS
8879,0.633,0.565,0.0,-5.178999999999999,1.0,0.0242,0.0772,2.3100000000000002e-05,0.168,0.539,145.001,192160.0,4.0,61,Long Way Down,One Direction
8880,0.64,0.841,1.0,-2.426,0.0,0.0466,0.153,0.0,0.0457,0.0471,121.075,282547.0,4.0,60,Phenomenal,Eminem
8881,0.65,0.879,9.0,-2.886,1.0,0.0731,0.0010199999999999999,0.0,0.0483,0.536,166.89700000000002,233160.0,4.0,61,Silver Spoon,BTS
8882,0.528,0.9279999999999999,1.0,-3.925,1.0,0.0664,0.0208,5.69e-06,0.376,0.39899999999999997,128.009,245547.0,4.0,55,America's Sweetheart,Elle King
8883,0.66,0.638,0.0,-6.827000000000001,1.0,0.0379,0.00043799999999999997,0.0191,0.107,0.5579999999999999,108.00399999999999,184413.0,4.0,55,Destruction,Joywave
8884,0.5589999999999999,0.535,3.0,-8.136000000000001,0.0,0.27399999999999997,0.337,0.0,0.105,0.62,96.98899999999999,254693.0,4.0,63,Bitches N Marijuana (feat. ScHoolboy Q),Chris Brown
8885,0.531,0.53,1.0,-7.0089999999999995,1.0,0.0304,0.317,8.06e-06,0.0479,0.537,122.777,320946.0,4.0,53,Men & Coyotes,Red Shahan
8886,0.574,0.37200000000000005,4.0,-7.75,1.0,0.0616,0.82,0.0,0.115,0.425,118.545,297573.0,4.0,55,Michael in the Bathroom,George Salazar
8887,0.292,0.359,5.0,-9.043,1.0,0.0328,0.6970000000000001,1.85e-05,0.10800000000000001,0.228,177.334,283259.0,3.0,61,Creep,Scott Bradlee's Postmodern Jukebox
8888,0.703,0.8059999999999999,2.0,-6.415,1.0,0.153,0.107,0.0,0.134,0.27899999999999997,94.979,214757.0,4.0,53,Big Tymin,Nef The Pharaoh
8889,0.37799999999999995,0.925,9.0,-3.781,1.0,0.185,0.0234,0.00062,0.18,0.584,108.525,234240.0,4.0,61,No Good,KALEO
8890,0.732,0.243,0.0,-6.023,1.0,0.0435,0.9390000000000001,0.0,0.111,0.106,102.087,280227.0,4.0,58,Only One,Kanye West
8891,0.684,0.445,8.0,-6.795,0.0,0.0328,0.805,7.24e-06,0.17800000000000002,0.428,120.073,214720.0,4.0,58,Trouble - Stripped,Halsey
8892,0.413,0.889,2.0,-3.924,1.0,0.0503,0.0047,0.0,0.348,0.602,177.97299999999998,213348.0,4.0,53,Man of the South,Morgan Wallen
8893,0.496,0.57,5.0,-6.053,1.0,0.0279,0.29100000000000004,0.0,0.105,0.239,79.845,229373.0,4.0,70,Creo en Mi,Natalia Jiménez
8894,0.38299999999999995,0.43,10.0,-8.644,1.0,0.0302,0.8170000000000001,1.04e-06,0.0869,0.174,107.005,280757.0,4.0,66,Let It All Go,Birdy
8895,0.336,0.664,7.0,-5.68,1.0,0.102,0.166,1.31e-06,0.0575,0.294,186.394,199315.0,3.0,60,You Don't Own Me,SAYGRACE
8896,0.301,0.6859999999999999,2.0,-8.36,1.0,0.0831,0.442,0.00011499999999999999,0.121,0.276,79.036,291720.0,3.0,57,For Sale? - Interlude,Kendrick Lamar
8897,0.562,0.695,6.0,-4.662,1.0,0.0332,0.0151,0.11900000000000001,0.122,0.446,118.17399999999999,216067.0,4.0,55,Bob Marley,Grizfolk
8898,0.659,0.483,5.0,-7.776,0.0,0.0547,0.445,0.0,0.15,0.313,104.86,228728.0,4.0,55,Picture This,Marvin Dark
8899,0.47600000000000003,0.193,0.0,-15.306,1.0,0.40399999999999997,0.9009999999999999,0.0,0.107,0.0929,172.518,199006.0,4.0,57,ilusm,gnash
8900,0.43700000000000006,0.526,11.0,-5.876,0.0,0.174,0.643,0.0,0.325,0.39399999999999996,76.16199999999999,319959.0,4.0,56,Hello,Erykah Badu
8901,0.5770000000000001,0.7509999999999999,3.0,-4.352,0.0,0.0356,0.000727,0.0,0.102,0.506,129.014,209096.0,4.0,59,I'm Not Sorry,DEAN
8902,0.7,0.6409999999999999,2.0,-8.673,0.0,0.317,0.0162,3.06e-06,0.20600000000000002,0.38299999999999995,149.99200000000002,303000.0,4.0,56,Wavybone,A$AP Rocky
8903,0.753,0.499,11.0,-7.8,1.0,0.0775,0.0588,0.0,0.11900000000000001,0.5579999999999999,145.219,194413.0,4.0,53,Bad Decisions,Bumpin Uglies
8904,0.635,0.972,9.0,-4.479,0.0,0.174,0.0726,0.0,0.9129999999999999,0.611,119.961,174173.0,4.0,58,Set it Off,Dove Cameron
8905,0.682,0.7140000000000001,2.0,-7.511,1.0,0.0534,0.122,0.0,0.22399999999999998,0.56,106.98899999999999,232100.0,4.0,57,Who Do You Love,Marianas Trench
8906,0.8,0.478,8.0,-7.874,1.0,0.18100000000000002,0.42700000000000005,0.0,0.134,0.687,135.957,259760.0,4.0,53,All I Need (One Mo Drank),Juicy J
8907,0.474,0.528,7.0,-8.588,1.0,0.0276,0.526,0.0,0.109,0.364,144.366,227333.0,4.0,55,It's Your Love,Tim McGraw
8908,0.431,0.836,5.0,-4.428,1.0,0.0395,0.0322,2.34e-05,0.105,0.75,74.473,201549.0,4.0,58,Roman Holiday,Halsey
8909,0.7929999999999999,0.607,4.0,-6.4879999999999995,0.0,0.08199999999999999,0.218,4.95e-06,0.348,0.15,140.99200000000002,194240.0,4.0,54,Blow a Bag,Future
8910,0.486,0.6940000000000001,0.0,-5.8,1.0,0.141,0.574,0.0,0.125,0.248,109.41,216413.0,4.0,53,Bellas Finals: Price Tag/Don’t You (Forget About Me)/Give Me Everything/Just The Way You Are/Party In The U.S.A./Turn The Beat Around,The Barden Bellas
8911,0.535,0.642,6.0,-7.947,1.0,0.0483,0.899,0.0,0.11800000000000001,0.574,87.488,173267.0,4.0,54,I Met A Girl - Acoustic Mixtape,Sam Hunt
8912,0.49700000000000005,0.882,8.0,-5.621,1.0,0.0412,0.00151,7.11e-06,0.139,0.922,76.48100000000001,206467.0,4.0,54,Run,COIN
8913,0.175,0.995,6.0,1.023,0.0,0.21100000000000002,0.000145,2.5e-06,0.214,0.303,184.06599999999997,225547.0,4.0,62,Let Me Hear,"Fear, and Loathing in Las Vegas"
8914,0.41100000000000003,0.58,0.0,-5.9879999999999995,1.0,0.0684,0.488,0.0,0.11900000000000001,0.27,140.55,157860.0,4.0,56,You Should Be Here,Kehlani
8915,0.884,0.53,5.0,-5.776,0.0,0.0379,0.0144,0.0,0.095,0.262,99.021,206187.0,4.0,62,Body Language (feat. Usher & Tinashe),Kid Ink
8916,0.747,0.42200000000000004,7.0,-10.008,1.0,0.0294,0.664,0.00277,0.392,0.595,111.141,151683.0,4.0,56,Goodbye Baby,The Walters
8917,0.752,0.498,5.0,-11.936,1.0,0.0412,0.33,0.000134,0.35100000000000003,0.505,109.992,272733.0,4.0,65,Runaway,Ziggy Alberts
8918,0.534,0.618,0.0,-4.56,1.0,0.0333,0.353,0.0,0.32299999999999995,0.597,150.267,282885.0,3.0,58,Yo Quisiera Entrar,Ariel Camacho y Los Plebes Del Rancho
8919,0.563,0.38299999999999995,2.0,-7.544,0.0,0.0322,0.28300000000000003,2.59e-06,0.127,0.35700000000000004,173.984,210520.0,3.0,58,"I Put A Spell On You (Fifty Shades of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",Annie Lennox
8920,0.672,0.386,0.0,-9.715,1.0,0.264,0.389,0.0,0.0838,0.529,90.08200000000001,221333.0,4.0,56,All Time Low,Jon Bellion
8921,0.7859999999999999,0.607,2.0,-7.992000000000001,0.0,0.0517,0.114,0.37200000000000005,0.10400000000000001,0.56,125.811,197773.0,4.0,54,Wasted,Rainbow Kitten Surprise
8922,0.644,0.643,6.0,-7.2410000000000005,1.0,0.0275,0.141,1.3e-06,0.10099999999999999,0.606,99.96700000000001,214987.0,4.0,53,Dime Store Cowgirl,Kacey Musgraves
8923,0.6829999999999999,0.634,5.0,-3.89,1.0,0.0392,0.124,0.0,0.0411,0.619,86.54,211152.0,4.0,58,Royalty,Conor Maynard
